title,published_time,channel_id,video_id
i Went Dumpster Diving at SEPHORA and THiS is What I Found....,2023-12-16T14:22:08Z,UCMCMjTKUqJ1pUzmHnKrmiCA,Sy7ISPioJ3M
INSANE HIDDEN JACKPOT WHILE DUMPSTER DIVING AT SEPHORA!!!,2023-12-18T21:24:46Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,xgnLbBz7IkM
"Dumpster Diving at Apple, Gucci, &amp; Sephora 😳",2023-06-03T16:56:06Z,UCxB7jMnHekMzHsOl9iZpXrA,0yEEiFLwEzQ
INSANE jackpot while dumpster diving at my most requested place.. #sephora #dumpsterdiving,2023-12-13T23:41:54Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,HoOTgrjxtBw
DUMPSTER DIVING AT ULTA - UNBELIEVABLE MAKEUP SCORE!,2023-02-05T15:56:02Z,UC2lowl1XbeX9txdVGypVXOQ,hJLWT7zHdwM
Dumpster Diving- These dumpsters are FULL of EXPENSIVE items!!!,2023-10-09T22:42:51Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,7q8k1pQ7PwU
THE EMPLOYEES LEFT ME AN INSANE SURPRISE IN THEIR DUMPSTER!!!,2023-10-23T19:48:50Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,fiSiqlSoWa0
I Went Dumpster Diving At Retail Stores And HIT A JACKPOT,2023-09-25T20:30:09Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,qf55WWgB9po
I FOUND THE EMPLOYEES HIDDEN STASH WHILE DUMPSTER DIVING!,2023-09-12T00:43:18Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,CUbu22oeFgM
INSANE JACKPOT DUMPSTER DIVING AT A CVS THAT&#39;S SHUTTING DOWN!!!,2024-02-22T00:05:26Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,ndb9PO5-mXg
"I Went Dumpster Diving And Found GOLD Jewelry &amp; $4,000+ ULTA JACKPOT!",2023-07-11T00:45:33Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,-lhxDt_G97o
