title,published_time,channel_id,video_id
I found a Diamond necklace while dumpster diving! #dumpsterdiving #shorts,2022-12-27T18:45:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,LV8d9hCx4FE
DUMPSTER DIVIN// IN A DIFFERENT STATE &amp; THE ULTA DUMPSTER WAS AMAZE-BALLS!!😱,2022-07-23T00:35:41Z,UCUcjZhqCFosxUGA5t2eUVDw,LPB1vASb0-k
iPhone FOUND!!! DUMPSTER DIVING AT THE APPLE STORE HUGE JACKPOT!!!!,2020-10-07T02:27:59Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,Z_SUV07a8y0
"HAUL TIME -  SEPHORA, AND FROM DUMPSTER DIVING GROUP!",2015-06-19T21:29:35Z,UCkenikejQRtO8uiJkaOdMDQ,zIqxVt_j7AA
HOW I WENT VIRAL ON TIKTOK SAVING LIVE ANIMALS WHILE DUMPSTER DIVING!!!,2021-10-28T22:20:35Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,bj3xwJpNPK8
"DUMPSTER DIVE! SEPHORA SHOPPING!! ART, SCHOOL, OFFICE SUPPLIES, AND MORE! DUMPSTER DIVING HAUL",2019-10-26T17:58:01Z,UCCgQ6d80YMfRVN3mA3CxlNA,NxxVjxSQpCY
FREE SEPHORA-FREE STARBUCKS-WENT DUMPSTER DIVING AND HAD NO LUCKS!! ☺,2017-02-08T20:30:08Z,UCVwj_ydgbKWTrMFnXBxsIHA,vkQT6uHIdNg
VOCÊS NÃO VÃO ACREDITAR NO TANTO DE MAQUIAGEM QUE EU GANHEI DA RAINHA DOS DUMPSTERS,2021-08-25T19:17:25Z,UC_pdYA_tB0YXnbzYqg3lh_A,WYZL7W0qH64
EMPLOYEES SECRET HIDDEN STASH FOUND WHILE DUMPSTER DIVING AT APPLE + NIKE!!!,2022-10-13T20:20:06Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,1G1-Ms-WnR8
DUMPSTER- ACHEI MUITA COISA NO LIXO DAS LOJAS ARRAZEI DESSA VEZ,2021-05-05T20:00:15Z,UCn5wNgpDW_f6Hb_6azqmj9w,YKPJNaR-e_M
"Ulta, Sephora, Sally&#39;s Beauty , Bestbuy Dumpster Dive Haul!!!",2016-10-29T07:09:13Z,UCNT46fmslfQfAtZL8vX4GvQ,qzv3DXSehwo
😱WOW CIENTOS DE👉💰EN LA BASURA EN MAQUILLAJE🔥MUEBLES Y MÁS♻️Dumpster Diving/Lo Que Tiran En USA🦜,2021-07-01T16:05:03Z,UCzS8hGBf3BXpgKdeKCgc3zQ,sx0Yfn8wCe8
Dumpster Diving for Sensitive Information,2017-04-17T16:17:26Z,UCk2SqzpY5c-eGScFMuqAitA,Pom86gq4mk4
Why I&#39;m Living in a Dumpster... Surviving 24 Hours in My New House | Spy Ninjas,2021-11-20T16:09:18Z,UCmFzvquJYoSDFhd9W0JhZKw,tpXzoN_QZ_c
"HEAVEN at TJ MAXX!! TOO FACED PEACH PALETTE, GLOSSIER ARRIVED, SEPHORA, MAC, INSANE JACKPOT!!",2022-08-06T00:00:00Z,UCXZ_ezpJ3RiCDXfewTmNzZg,amwSlPnjt5w
I Went Dumpster Diving And Found GOLD &amp; DIAMOND Jewelry,2022-12-26T22:33:55Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,pqT4lGpTm3s
Why People Dumpster Dive For Makeup | Beauty With Mi | Refinery29,2019-04-01T14:58:18Z,UCsZsDjpf2Ppv_cT2K6_q2cw,MSItNE43JwM
"HOURGLASS AT TJ MAXX ALREADY?! SEPHORA, DRAGUN BEAUTY, KOPARI, LOTS OF PALETTES, MAKEUP JACKPOT!",2022-03-27T23:00:08Z,UCXZ_ezpJ3RiCDXfewTmNzZg,S2kkMuGBLFw
♻️Encuentro ciento de colores en la basura. DUMPSTER DIVING 🇺🇸🇲🇽 #loquetiranenUSA  #dumpsterdiving,2021-08-12T17:43:42Z,UCsvfYfWY_ihz3L-9AlkzIcQ,4FnnxgtdzCU
Dumpster Diving on Christmas Morning (with Alex)!,2020-12-27T18:30:10Z,UCRmVrFuuTLLnPv7GMiZg69A,fFx5f4Z4xm4
DUMPSTER DIVING AT SEPHORA,2022-04-09T03:07:57Z,UC8Cb2XWI7efdcolTw69Tcfg,ZaWELXZ8XTI
Le dumpster diving dans la ville de Québec,2015-10-29T15:49:03Z,UCvB_ptZT2KgHZThK65laa1g,tv9vLOPjBSg
Le dumpster diving dans la ville de Québec,2015-10-29T15:49:03Z,UCvB_ptZT2KgHZThK65laa1g,tv9vLOPjBSg
HUGE $200 HOLIDAY SQUISHMALLOW UNBOXING *WE HIT THE JACKPOT* 😱😍,2022-12-10T15:45:08Z,UC46fZkmsP85pUQDLw1UKezg,TPaaFLbqBeM
DUMPSTER DIVING NA FLÓRIDA 😁APRENDENDO COM ADELINE CAMARGO 🤭🤭,2020-12-27T18:00:49Z,UCn5wNgpDW_f6Hb_6azqmj9w,Zy9Avu0GTv8
DUMPSTER DIVING AT ULTA AND BATH &amp; BODY WORKS FOR ONE WEEK!,2019-07-17T06:54:00Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,_SPwTxuFqPk
"INACREDITAVEL oq as LOJAS jogam no LIXO! Dumpster Diving na Florida, EUA!",2022-04-13T21:44:57Z,UC0Yx7ZU62c3u_hyM0jVMwGg,3BC1Px9dUtI
Bonnie: profil de dumpster-diveuse,2015-03-12T17:47:40Z,UCv608Ij1O2mcjeE3D9EXbxA,DL_Bj_c_lvI
3000 Dollar pro Monat für Müll! Was ist Dumpster Diving? | Galileo | ProSieben,2022-11-16T17:30:00Z,UC1XrG1M_hw8103zO2x-oivg,-SkUJo5rXsA
